"STATE/UT","CRIME HEAD","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"ASSAM","HURT/GREVIOUS HURT",5805,4764,4952,5911,5906,5290,5175,6107,6547,5744,6306,6676
"BIHAR","HURT/GREVIOUS HURT",7544,8770,8884,11231,11939,12674,16288,16644,14746,15328,19391,45827
"CHHATTISGARH","HURT/GREVIOUS HURT",5477,4484,3653,3899,3734,6722,6801,8565,9543,10188,11105,10855
"GOA","HURT/GREVIOUS HURT",174,236,198,170,155,170,150,185,191,177,215,266
"GUJARAT","HURT/GREVIOUS HURT",13760,13531,12611,12262,10503,10685,10989,10897,9456,10131,10159,10234
"HARYANA","HURT/GREVIOUS HURT",4744,4514,4153,4194,4569,5135,5031,4504,3977,3733,3423,3277
"HIMACHAL PRADESH","HURT/GREVIOUS HURT",1403,1476,1385,1421,1359,1261,1318,1258,1230,1374,1251,1173
"JAMMU & KASHMIR","HURT/GREVIOUS HURT",318,366,310,334,355,376,374,273,331,278,246,322
"JHARKHAND","HURT/GREVIOUS HURT",2254,2294,3062,2294,3078,3055,3783,2826,4132,4271,4403,4785
"KARNATAKA","HURT/GREVIOUS HURT",23285,22824,21913,21232,20883,19488,18963,19159,20105,21835,21295,20350
"KERALA","HURT/GREVIOUS HURT",19829,19033,17696,20610,18302,19105,18975,19178,18274,18532,21747,21170
"MADHYA PRADESH","HURT/GREVIOUS HURT",30895,29955,29358,33285,33803,34709,36643,36344,37132,39193,35711,35549
"MAHARASHTRA","HURT/GREVIOUS HURT",30212,29250,29205,30122,30017,29407,29622,29742,28326,29696,29769,28392
"MANIPUR","HURT/GREVIOUS HURT",201,378,324,233,295,296,377,301,224,227,292,285
"MEGHALAYA","HURT/GREVIOUS HURT",102,89,106,123,135,138,124,204,207,154,197,157
"MIZORAM","HURT/GREVIOUS HURT",94,112,142,80,77,72,85,118,120,116,97,103
"NAGALAND","HURT/GREVIOUS HURT",37,53,48,52,35,50,52,46,38,36,55,30
"ODISHA","HURT/GREVIOUS HURT",4367,4947,4759,4938,5919,6226,7478,7013,6816,7181,7894,8223
"PUNJAB","HURT/GREVIOUS HURT",3996,4453,4124,4402,4267,5104,5663,5597,5498,4873,4757,4186
"RAJASTHAN","HURT/GREVIOUS HURT",27485,26519,26173,25947,22606,21296,19720,21117,21652,19247,17977,17614
"SIKKIM","HURT/GREVIOUS HURT",35,50,56,78,99,96,95,100,91,73,75,91
"TAMIL NADU","HURT/GREVIOUS HURT",28429,25150,30228,30855,31725,14067,16967,20529,18147,21309,21167,22100
"TRIPURA","HURT/GREVIOUS HURT",412,518,534,452,429,464,546,924,1047,1136,1340,1504
"UTTAR PRADESH","HURT/GREVIOUS HURT",17816,13947,7760,11265,10379,10412,10694,11683,10934,10336,12234,12290
"UTTARAKHAND","HURT/GREVIOUS HURT",830,760,687,865,745,854,886,937,1198,974,852,1022
"WEST BENGAL","HURT/GREVIOUS HURT",3658,3112,4172,3867,4125,6299,6909,9033,11196,12764,13094,15923
"TOTAL (STATES)","HURT/GREVIOUS HURT",268575,261825,258465,273886,268001,261812,270205,281930,276172,286122,299883,329610
"A & N ISLANDS","HURT/GREVIOUS HURT",118,97,110,105,79,78,99,107,89,80,81,62
"CHANDIGARH","HURT/GREVIOUS HURT",95,107,71,65,57,55,78,73,63,65,45,42
"D & N HAVELI","HURT/GREVIOUS HURT",29,29,22,35,33,35,25,26,23,11,25,25
"DAMAN & DIU","HURT/GREVIOUS HURT",21,18,14,17,16,18,20,12,14,12,11,17
"DELHI","HURT/GREVIOUS HURT",2011,1851,1708,1780,1814,1818,1736,1936,1938,1925,1946,1747
"LAKSHADWEEP","HURT/GREVIOUS HURT",3,5,1,6,4,5,0,12,14,1,3,3
"PUDUCHERRY","HURT/GREVIOUS HURT",635,1093,1053,974,857,927,904,873,901,806,853,818
"TOTAL (UTs)","HURT/GREVIOUS HURT",2912,3200,2979,2982,2860,2936,2862,3039,3042,2900,2964,2714
"TOTAL (ALL-INDIA)","HURT/GREVIOUS HURT",271487,265025,261444,276868,270861,264748,273067,284969,279214,289022,302847,332324
"ANDHRA PRADESH","DOWRY",420,449,466,512,443,519,613,556,546,588,599,504
"ARUNACHAL PRADESH","DOWRY",0,0,0,0,0,1,0,0,0,0,0,1
"ASSAM","DOWRY",59,70,60,74,99,105,100,103,170,175,121,140
"BIHAR","DOWRY",859,927,909,1029,1014,1188,1172,1210,1295,1257,1413,1275
"CHHATTISGARH","DOWRY",70,85,79,71,100,103,100,106,128,115,104,81
"GOA","DOWRY",2,2,2,2,2,0,2,2,3,1,1,0
"GUJARAT","DOWRY",67,62,54,58,48,50,42,27,24,19,30,21
"HARYANA","DOWRY",285,256,222,251,212,255,269,302,281,284,255,258
"HIMACHAL PRADESH","DOWRY",10,6,6,8,2,3,8,3,1,2,4,2
"JAMMU & KASHMIR","DOWRY",13,18,10,9,5,10,9,21,12,9,11,8
"JHARKHAND","DOWRY",217,275,262,275,257,281,303,266,295,276,282,302
"KARNATAKA","DOWRY",220,233,194,259,261,244,251,259,264,248,267,218
"KERALA","DOWRY",27,17,33,31,21,25,27,31,20,22,15,32
"MADHYA PRADESH","DOWRY",609,674,648,751,739,764,742,805,858,892,811,743
"MAHARASHTRA","DOWRY",308,303,368,314,341,387,436,390,341,393,339,329
"MANIPUR","DOWRY",0,0,0,0,0,0,0,1,0,0,1,0
"MEGHALAYA","DOWRY",0,0,0,2,1,6,2,2,0,0,1,1
"MIZORAM","DOWRY",0,0,0,0,4,0,0,0,0,0,0,0
"NAGALAND","DOWRY",0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","DOWRY",294,248,279,319,334,457,461,401,384,388,465,525
"PUNJAB","DOWRY",159,166,110,113,99,130,133,128,126,121,143,118
"RAJASTHAN","DOWRY",376,399,389,379,361,394,439,439,436,462,514,478
"SIKKIM","DOWRY",0,0,0,0,0,0,0,0,0,1,0,1
"TAMIL NADU","DOWRY",191,243,220,225,215,187,208,207,194,165,152,110
"TRIPURA","DOWRY",16,16,20,20,34,35,36,16,29,25,30,37
"UTTAR PRADESH","DOWRY",2211,1893,1322,1708,1564,1798,2076,2237,2232,2217,2322,2244
"UTTARAKHAND","DOWRY",56,66,93,82,63,80,70,73,94,75,83,71
"WEST BENGAL","DOWRY",265,273,329,396,446,445,451,451,506,507,510,593
"TOTAL (STATES)","DOWRY",6734,6681,6075,6888,6665,7467,7950,8036,8239,8242,8473,8092
"A & N ISLANDS","DOWRY",0,0,0,0,0,0,1,2,1,0,0,2
"CHANDIGARH","DOWRY",3,1,1,6,3,10,1,3,2,5,2,5
"D & N HAVELI","DOWRY",0,0,0,0,0,1,0,0,0,0,0,0
"DAMAN & DIU","DOWRY",0,0,1,0,1,0,1,0,0,0,0,0
"DELHI","DOWRY",113,135,130,126,114,137,138,129,141,143,142,134
"LAKSHADWEEP","DOWRY",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","DOWRY",1,5,1,6,4,3,2,2,0,1,1,0
"TOTAL (UTs)","DOWRY",117,141,133,138,122,151,143,136,144,149,145,141
"TOTAL (ALL-INDIA)","DOWRY",6851,6822,6208,7026,6787,7618,8093,8172,8383,8391,8618,8233
"ANDHRA PRADESH","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",3544,3799,4128,3817,3595,4534,4406,4730,5147,4634,4849,4816
"ARUNACHAL PRADESH","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",78,68,43,61,67,63,72,72,58,84,51,67
"ASSAM","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",850,984,878,883,899,1290,789,1272,1342,1400,1193,1840
"BIHAR","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",562,621,688,704,451,530,853,999,726,534,790,118
"CHHATTISGARH","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1763,1483,1481,1661,1450,1598,1549,1621,1598,1706,1654,1601
"GOA","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",17,18,19,23,30,18,20,32,37,36,29,49
"GUJARAT","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",756,750,722,757,802,736,822,828,727,668,685,745
"HARYANA","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",478,454,344,403,380,486,417,435,451,476,474,525
"HIMACHAL PRADESH","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",310,326,250,284,286,275,322,295,318,350,331,250
"JAMMU & KASHMIR","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",622,785,875,990,830,960,986,935,972,1038,1194,1322
"JHARKHAND","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",297,411,424,411,293,414,342,271,276,245,317,284
"KARNATAKA","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1665,1648,1585,1435,1585,1683,1828,1954,2186,2544,2608,2978
"KERALA","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1942,2123,1947,2260,2339,2543,2624,2745,2540,2936,3756,3735
"MADHYA PRADESH","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",7063,7118,6848,6690,6426,6243,6772,6445,6307,6646,6665,6655
"MAHARASHTRA","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",2823,2686,2661,2831,3228,3479,3306,3619,3196,3661,3794,3935
"MANIPUR","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",21,58,44,30,25,42,70,57,39,31,38,49
"MEGHALAYA","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",25,23,13,34,44,57,45,54,72,48,74,43
"MIZORAM","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",52,73,88,66,49,51,66,78,61,75,72,85
"NAGALAND","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",6,1,4,3,7,3,8,15,11,13,9,16
"ODISHA","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1655,1605,1669,1811,2238,2415,2775,2782,2697,2905,3207,4187
"PUNJAB","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",372,341,346,261,308,314,427,388,319,349,282,340
"RAJASTHAN","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",2878,2730,2715,2825,2503,2582,2477,2520,2485,2339,2447,2352
"SIKKIM","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",0,17,25,40,38,14,13,19,10,11,24,19
"TAMIL NADU","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1773,1877,2022,1861,1764,1179,1540,1705,1242,1405,1467,1494
"TRIPURA","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",58,128,127,134,161,207,244,346,384,376,294,314
"UTTAR PRADESH","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",2870,2145,1098,1900,1835,2096,2522,2955,2782,2793,3455,3247
"UTTARAKHAND","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",103,145,136,143,100,153,146,120,119,125,116,139
"WEST BENGAL","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",954,964,1186,1566,1572,1837,2281,2396,1942,2465,2363,3345
"TOTAL (STATES)","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",33537,33381,32366,33884,33305,35802,37722,39688,38044,39893,42238,44550
"A & N ISLANDS","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",19,17,9,6,11,14,21,24,30,31,15,17
"CHANDIGARH","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",24,36,11,20,31,20,32,19,26,29,21,45
"D & N HAVELI","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",7,3,4,5,5,5,0,4,2,11,2,2
"DAMAN & DIU","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",0,0,3,1,1,2,0,2,4,2,0,0
"DELHI","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",502,446,489,601,762,718,868,611,552,601,657,727
"LAKSHADWEEP","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",0,1,1,0,0,0,2,0,0,0,0,1
"PUDUCHERRY","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",35,59,56,50,60,56,89,65,53,46,35,9
"TOTAL (UTs)","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",587,562,573,683,870,815,1012,725,667,720,730,801
"TOTAL (ALL-INDIA)","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",34124,33943,32939,34567,34175,36617,38734,40413,38711,40613,42968,45351
"ANDHRA PRADESH","INSULT TO THE MODESTY OF WOMEN",2271,2024,2286,2310,2508,2411,3316,3551,3520,4562,3658,3714
"ARUNACHAL PRADESH","INSULT TO THE MODESTY OF WOMEN",3,2,0,0,0,2,1,1,6,1,0,2
"ASSAM","INSULT TO THE MODESTY OF WOMEN",4,7,6,11,19,10,10,2,10,20,8,5
"BIHAR","INSULT TO THE MODESTY OF WOMEN",21,6,11,13,13,53,12,21,12,16,11,37
"CHHATTISGARH","INSULT TO THE MODESTY OF WOMEN",161,147,105,131,132,143,111,125,152,182,174,162
"GOA","INSULT TO THE MODESTY OF WOMEN",7,6,7,15,8,7,7,12,10,16,12,16
"GUJARAT","INSULT TO THE MODESTY OF WOMEN",111,104,92,164,104,138,120,122,114,110,93,93
"HARYANA","INSULT TO THE MODESTY OF WOMEN",401,1424,1302,850,597,491,409,605,605,580,490,434
"HIMACHAL PRADESH","INSULT TO THE MODESTY OF WOMEN",14,12,18,16,29,31,33,41,37,78,62,68
"JAMMU & KASHMIR","INSULT TO THE MODESTY OF WOMEN",288,368,376,264,371,347,353,296,371,262,350,347
"JHARKHAND","INSULT TO THE MODESTY OF WOMEN",5,3,2,3,36,44,15,23,83,16,7,10
"KARNATAKA","INSULT TO THE MODESTY OF WOMEN",81,100,84,57,71,38,28,44,64,83,81,100
"KERALA","INSULT TO THE MODESTY OF WOMEN",81,102,68,133,175,222,262,258,395,537,573,498
"MADHYA PRADESH","INSULT TO THE MODESTY OF WOMEN",751,783,705,804,792,762,780,758,728,918,762,774
"MAHARASHTRA","INSULT TO THE MODESTY OF WOMEN",1120,769,682,862,919,984,1039,1091,1099,1180,1071,1294
"MANIPUR","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,0,0,0,0,2,0,0,1
"MEGHALAYA","INSULT TO THE MODESTY OF WOMEN",0,0,1,0,0,0,1,4,1,0,1,0
"MIZORAM","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,4,0,0,0,1,0,1,0
"NAGALAND","INSULT TO THE MODESTY OF WOMEN",0,0,2,1,0,2,1,1,0,3,0,0
"ODISHA","INSULT TO THE MODESTY OF WOMEN",458,188,188,170,184,247,241,282,210,232,235,304
"PUNJAB","INSULT TO THE MODESTY OF WOMEN",47,145,199,38,43,60,48,49,33,38,31,31
"RAJASTHAN","INSULT TO THE MODESTY OF WOMEN",56,44,33,41,28,31,28,19,24,23,9,18
"SIKKIM","INSULT TO THE MODESTY OF WOMEN",14,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","INSULT TO THE MODESTY OF WOMEN",1012,1718,881,1081,665,852,875,974,501,638,464,382
"TRIPURA","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,1,0,4,4,5,9,9,7
"UTTAR PRADESH","INSULT TO THE MODESTY OF WOMEN",2575,1887,4970,2682,2881,2714,2882,3374,2524,11,3,8
"UTTARAKHAND","INSULT TO THE MODESTY OF WOMEN",84,97,98,110,89,113,63,306,249,165,72,73
"WEST BENGAL","INSULT TO THE MODESTY OF WOMEN",48,34,71,64,54,63,99,94,108,163,200,556
"TOTAL (STATES)","INSULT TO THE MODESTY OF WOMEN",9613,9970,12187,9820,9723,9765,10738,12057,10864,9843,8377,8934
"A & N ISLANDS","INSULT TO THE MODESTY OF WOMEN",1,3,2,3,1,4,2,3,7,10,3,4
"CHANDIGARH","INSULT TO THE MODESTY OF WOMEN",15,28,4,18,9,13,11,2,2,4,12,25
"D & N HAVELI","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,0,1,0,0,1,2,0,0
"DAMAN & DIU","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,0,0,0,1,1,0,0,0
"DELHI","INSULT TO THE MODESTY OF WOMEN",90,128,105,130,225,144,167,130,118,80,162,208
"LAKSHADWEEP","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","INSULT TO THE MODESTY OF WOMEN",27,26,27,30,26,39,32,21,16,22,16,2
"TOTAL (UTs)","INSULT TO THE MODESTY OF WOMEN",133,185,138,181,261,201,212,157,145,118,193,239
"TOTAL (ALL-INDIA)","INSULT TO THE MODESTY OF WOMEN",9746,10155,12325,10001,9984,9966,10950,12214,11009,9961,8570,9173
"ANDHRA PRADESH","CRUELTY BY HUSBAND OR HIS RELATIVES",5791,7018,8167,8388,8696,9164,11335,10306,11297,12080,13376,13389
"ARUNACHAL PRADESH","CRUELTY BY HUSBAND OR HIS RELATIVES",11,13,14,4,9,14,20,13,13,12,18,26
"ASSAM","CRUELTY BY HUSBAND OR HIS RELATIVES",1248,1694,1808,1945,2206,2548,3000,3478,4398,5410,5246,6407
"BIHAR","CRUELTY BY HUSBAND OR HIS RELATIVES",1558,1577,1880,2679,1574,1689,1635,1992,2532,2271,2607,3686
"CHHATTISGARH","CRUELTY BY HUSBAND OR HIS RELATIVES",840,653,601,741,732,717,824,897,893,861,834,980
"GOA","CRUELTY BY HUSBAND OR HIS RELATIVES",11,8,24,17,11,14,14,12,21,17,18,24
"GUJARAT","CRUELTY BY HUSBAND OR HIS RELATIVES",3667,3321,3684,3955,4090,4977,5827,6094,5506,5600,6052,6658
"HARYANA","CRUELTY BY HUSBAND OR HIS RELATIVES",1513,1565,1618,2026,2075,2254,2412,2435,2617,2720,2740,3137
"HIMACHAL PRADESH","CRUELTY BY HUSBAND OR HIS RELATIVES",317,234,221,252,228,259,342,343,284,275,239,251
"JAMMU & KASHMIR","CRUELTY BY HUSBAND OR HIS RELATIVES",50,54,71,82,76,135,176,162,196,211,286,301
"JHARKHAND","CRUELTY BY HUSBAND OR HIS RELATIVES",484,588,559,588,590,668,801,851,710,650,659,1261
"KARNATAKA","CRUELTY BY HUSBAND OR HIS RELATIVES",1755,1826,1704,1588,1883,2129,2507,2638,3185,3441,3712,3684
"KERALA","CRUELTY BY HUSBAND OR HIS RELATIVES",2561,2836,2930,3222,3283,3708,3999,4138,4007,4797,5377,5216
"MADHYA PRADESH","CRUELTY BY HUSBAND OR HIS RELATIVES",2562,3117,2938,3436,2989,2989,3294,3185,3983,3756,3732,3988
"MAHARASHTRA","CRUELTY BY HUSBAND OR HIS RELATIVES",6090,5353,5452,5646,6233,6738,7356,7829,7681,7434,7136,7415
"MANIPUR","CRUELTY BY HUSBAND OR HIS RELATIVES",5,10,4,2,20,10,15,28,25,18,39,43
"MEGHALAYA","CRUELTY BY HUSBAND OR HIS RELATIVES",4,0,4,5,3,13,19,32,24,24,21,16
"MIZORAM","CRUELTY BY HUSBAND OR HIS RELATIVES",16,3,3,0,0,1,2,5,4,3,9,8
"NAGALAND","CRUELTY BY HUSBAND OR HIS RELATIVES",0,0,0,0,0,3,0,4,0,1,1,0
"ODISHA","CRUELTY BY HUSBAND OR HIS RELATIVES",1266,1167,1289,1192,1671,694,728,1618,2047,2067,2320,2638
"PUNJAB","CRUELTY BY HUSBAND OR HIS RELATIVES",1128,944,987,801,729,801,971,984,1061,1163,1136,1293
"RAJASTHAN","CRUELTY BY HUSBAND OR HIS RELATIVES",5532,5691,5733,6781,5997,7038,8170,8113,10371,11145,12218,13312
"SIKKIM","CRUELTY BY HUSBAND OR HIS RELATIVES",0,3,1,1,4,6,7,5,6,3,4,4
"TAMIL NADU","CRUELTY BY HUSBAND OR HIS RELATIVES",815,1052,1555,1437,1650,1248,1976,1648,1460,1570,1812,1965
"TRIPURA","CRUELTY BY HUSBAND OR HIS RELATIVES",227,236,247,302,439,471,545,735,815,937,702,858
"UTTAR PRADESH","CRUELTY BY HUSBAND OR HIS RELATIVES",7365,5679,2626,4950,4505,5204,7650,8312,8566,7978,7121,7661
"UTTARAKHAND","CRUELTY BY HUSBAND OR HIS RELATIVES",301,316,317,405,272,358,463,340,361,334,307,368
"WEST BENGAL","CRUELTY BY HUSBAND OR HIS RELATIVES",3859,4069,4948,6334,6936,7414,9900,13663,16112,17796,19772,19865
"TOTAL (STATES)","CRUELTY BY HUSBAND OR HIS RELATIVES",48976,49027,49385,56779,56901,61264,73988,79860,88175,92574,97494,104454
"A & N ISLANDS","CRUELTY BY HUSBAND OR HIS RELATIVES",9,4,7,5,5,7,18,26,21,9,5,5
"CHANDIGARH","CRUELTY BY HUSBAND OR HIS RELATIVES",36,56,93,73,75,102,112,49,51,41,46,73
"D & N HAVELI","CRUELTY BY HUSBAND OR HIS RELATIVES",4,3,2,3,5,5,3,4,3,3,3,0
"DAMAN & DIU","CRUELTY BY HUSBAND OR HIS RELATIVES",4,3,0,4,3,2,3,5,3,3,2,3
"DELHI","CRUELTY BY HUSBAND OR HIS RELATIVES",138,135,1211,1254,1324,1728,1787,1387,1283,1404,1575,1985
"LAKSHADWEEP","CRUELTY BY HUSBAND OR HIS RELATIVES",0,0,1,1,0,1,2,1,0,0,0,1
"PUDUCHERRY","CRUELTY BY HUSBAND OR HIS RELATIVES",3,9,4,2,6,19,17,12,10,7,10,6
"TOTAL (UTs)","CRUELTY BY HUSBAND OR HIS RELATIVES",194,210,1318,1342,1418,1864,1942,1484,1371,1467,1641,2073
"TOTAL (ALL-INDIA)","CRUELTY BY HUSBAND OR HIS RELATIVES",49170,49237,50703,58121,58319,63128,75930,81344,89546,94041,99135,106527
"ANDHRA PRADESH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",7,0,5,2,3,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,3,0,0,0,1,0,2,2
"BIHAR","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",83,38,37,35,74,42,56,22,31,8,10,4
"CHHATTISGARH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,1,0,0,0,2,2,0
"GOA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"HARYANA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"HIMACHAL PRADESH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"JHARKHAND","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",2,36,0,36,4,5,0,39,6,8,6,3
"KARNATAKA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,1,2,0,12,32
"KERALA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"MADHYA PRADESH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,3,0,0,0,1,5,45,6
"MAHARASHTRA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",1,0,0,0,0,1,0,0,0,0,0,0
"MANIPUR","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,1,0,3,0
"MIZORAM","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",3,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,1,0,0,0,0,0,0,0,0,0
"ODISHA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,12,0,0,1,5,0,0
"PUNJAB","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,2,0,0,0,0,0,0
"RAJASTHAN","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",1,0,1,1,0,3,0,0,0,0,0,0
"SIKKIM","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",14,0,1,0,0,0,0,0,0,0,0,0
"TRIPURA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"UTTAR PRADESH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,3,0,0,0,0,0,0,0,0
"UTTARAKHAND","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,1,0,0,0,0,0,0,0,0,0,0
"WEST BENGAL","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",3,1,1,12,61,1,5,5,5,8,0,12
"TOTAL (STATES)","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",114,76,46,89,148,67,61,67,48,36,80,59
"A & N ISLANDS","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"D & N HAVELI","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,1,0,0,0,0,0,0,0
"LAKSHADWEEP","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"TOTAL (UTs)","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,1,0,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",114,76,46,89,149,67,61,67,48,36,80,59
"ANDHRA PRADESH","CAUSING DEATH BY NEGLIGENCE",7400,8691,8515,11452,9973,11489,12629,12861,13438,14085,13973,13929
"ARUNACHAL PRADESH","CAUSING DEATH BY NEGLIGENCE",0,0,0,0,69,82,82,104,110,106,98,94
"ASSAM","CAUSING DEATH BY NEGLIGENCE",2010,1957,2086,2239,2695,3022,2875,2259,2735,2847,2915,2565
"BIHAR","CAUSING DEATH BY NEGLIGENCE",2406,2497,2574,2405,2680,2860,3789,4592,4516,5615,5877,4631
"CHHATTISGARH","CAUSING DEATH BY NEGLIGENCE",689,963,1158,1717,2004,2239,2476,2800,2735,2907,2856,2888
"GOA","CAUSING DEATH BY NEGLIGENCE",191,202,164,216,209,233,247,230,220,256,263,233
"GUJARAT","CAUSING DEATH BY NEGLIGENCE",2924,3258,3536,3958,4120,4339,4831,4934,5178,5907,5827,5573
