STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
GUJARAT,2007,DOWRY DEATHS,0,0,0,52,2,54,29,1,30,3,1,4,84,4,88
GUJARAT,2007,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2007,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2007,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,101,10,111,28,19,47,16,7,23,145,36,181
GUJARAT,2007,OTHER IPC CRIMES,0,0,0,43,4,47,37,2,39,11,0,11,91,6,97
GUJARAT,2007,TOTAL IPC,0,0,0,1876,38,1914,1652,92,1744,519,33,552,4047,163,4210
GUJARAT,2008,MURDER,0,0,0,767,33,800,905,91,996,342,33,375,2014,157,2171
GUJARAT,2008,ATTEMPT TO COMMIT MURDER,0,0,0,139,0,139,187,0,187,41,0,41,367,0,367
GUJARAT,2008,C.H. NOT AMOUNTING TO MURDER,0,0,0,154,0,154,37,1,38,38,0,38,229,1,230
GUJARAT,2008,RAPE,0,0,0,291,0,291,210,0,210,24,2,26,525,2,527
GUJARAT,2008,KIDNAPPING AND ABDUCTION,0,0,0,46,0,46,88,2,90,8,2,10,142,4,146
GUJARAT,2008,DACOITY,0,0,0,33,0,33,34,0,34,8,0,8,75,0,75
GUJARAT,2008,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,5,0,5,38,0,38,0,0,0,43,0,43
GUJARAT,2008,ROBBERY,0,0,0,55,0,55,108,0,108,15,0,15,178,0,178
GUJARAT,2008,BURGLARY,0,0,0,42,0,42,0,0,0,0,0,0,42,0,42
GUJARAT,2008,THEFTS,0,0,0,22,0,22,49,0,49,8,0,8,79,0,79
GUJARAT,2008,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2008,RIOTS,0,0,0,5,0,5,35,0,35,18,0,18,58,0,58
GUJARAT,2008,ARSON,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
GUJARAT,2008,CRIMINAL BREACH OF TRUST,0,0,0,15,0,15,32,0,32,8,0,8,55,0,55
GUJARAT,2008,CHEATING,0,0,0,1,0,1,1,0,1,1,0,1,3,0,3
GUJARAT,2008,COUNTER FEITING,0,0,0,30,1,31,33,0,33,5,0,5,68,1,69
GUJARAT,2008,DOWRY DEATHS,0,0,0,34,0,34,26,0,26,3,0,3,63,0,63
GUJARAT,2008,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2008,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2008,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,30,9,39,72,10,82,27,6,33,129,25,154
GUJARAT,2008,OTHER IPC CRIMES,0,0,0,21,0,21,46,1,47,7,0,7,74,1,75
GUJARAT,2008,TOTAL IPC,0,0,0,1692,43,1735,1901,105,2006,553,43,596,4146,191,4337
GUJARAT,2009,MURDER,0,0,0,794,62,856,797,25,822,114,20,134,1705,107,1812
GUJARAT,2009,ATTEMPT TO COMMIT MURDER,0,0,0,82,0,82,68,0,68,24,0,24,174,0,174
GUJARAT,2009,C.H. NOT AMOUNTING TO MURDER,0,0,0,144,1,145,55,3,58,29,2,31,228,6,234
GUJARAT,2009,RAPE,0,0,0,345,1,346,131,1,132,8,0,8,484,2,486
GUJARAT,2009,KIDNAPPING AND ABDUCTION,0,0,0,46,0,46,28,0,28,11,0,11,85,0,85
GUJARAT,2009,DACOITY,0,0,0,70,1,71,26,0,26,1,0,1,97,1,98
GUJARAT,2009,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,14,1,15,24,0,24,1,0,1,39,1,40
GUJARAT,2009,ROBBERY,0,0,0,22,0,22,73,0,73,0,0,0,95,0,95
GUJARAT,2009,BURGLARY,0,0,0,0,0,0,26,0,26,0,0,0,26,0,26
GUJARAT,2009,THEFTS,0,0,0,7,0,7,44,0,44,2,0,2,53,0,53
GUJARAT,2009,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2009,RIOTS,0,0,0,1,0,1,21,0,21,11,0,11,33,0,33
GUJARAT,2009,ARSON,0,0,0,3,0,3,2,0,2,0,0,0,5,0,5
GUJARAT,2009,CRIMINAL BREACH OF TRUST,0,0,0,11,0,11,28,0,28,7,0,7,46,0,46
GUJARAT,2009,CHEATING,0,0,0,3,0,3,2,0,2,4,0,4,9,0,9
GUJARAT,2009,COUNTER FEITING,0,0,0,41,0,41,36,0,36,8,0,8,85,0,85
GUJARAT,2009,DOWRY DEATHS,0,0,0,29,1,30,30,2,32,0,0,0,59,3,62
GUJARAT,2009,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2009,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2009,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,13,0,13,52,0,52,18,0,18,83,0,83
GUJARAT,2009,OTHER IPC CRIMES,0,0,0,20,9,29,40,9,49,7,0,7,67,18,85
GUJARAT,2009,TOTAL IPC,0,0,0,1645,76,1721,1483,40,1523,245,22,267,3373,138,3511
GUJARAT,2010,MURDER,0,0,0,714,29,743,951,56,1007,116,25,141,1781,110,1891
GUJARAT,2010,ATTEMPT TO COMMIT MURDER,0,0,0,67,0,67,47,0,47,23,0,23,137,0,137
GUJARAT,2010,C.H. NOT AMOUNTING TO MURDER,0,0,0,143,4,147,84,8,92,37,3,40,264,15,279
GUJARAT,2010,RAPE,0,0,0,392,1,393,129,3,132,8,1,9,529,5,534
GUJARAT,2010,KIDNAPPING AND ABDUCTION,0,0,0,35,0,35,24,2,26,4,0,4,63,2,65
GUJARAT,2010,DACOITY,0,0,0,82,0,82,43,0,43,0,0,0,125,0,125
GUJARAT,2010,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,10,0,10,7,0,7,1,0,1,18,0,18
GUJARAT,2010,ROBBERY,0,0,0,29,0,29,16,0,16,3,0,3,48,0,48
GUJARAT,2010,BURGLARY,0,0,0,1,0,1,5,0,5,11,0,11,17,0,17
GUJARAT,2010,THEFTS,0,0,0,48,0,48,20,1,21,5,0,5,73,1,74
GUJARAT,2010,EXTORTION,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4
GUJARAT,2010,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2010,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2010,CRIMINAL BREACH OF TRUST,0,0,0,2,1,3,7,1,8,4,0,4,13,2,15
GUJARAT,2010,CHEATING,0,0,0,3,0,3,1,0,1,4,0,4,8,0,8
GUJARAT,2010,COUNTER FEITING,0,0,0,38,0,38,21,0,21,15,0,15,74,0,74
GUJARAT,2010,DOWRY DEATHS,0,0,0,6,0,6,14,2,16,0,0,0,20,2,22
GUJARAT,2010,MOLESTATION,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
GUJARAT,2010,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2010,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,44,0,44,34,0,34,11,3,14,89,3,92
GUJARAT,2010,OTHER IPC CRIMES,0,0,0,34,2,36,57,5,62,31,1,32,122,8,130
GUJARAT,2010,TOTAL IPC,0,0,0,1653,37,1690,1461,78,1539,273,33,306,3387,148,3535
GUJARAT,2011,MURDER,0,0,0,636,36,672,929,52,981,122,27,149,1687,115,1802
GUJARAT,2011,ATTEMPT TO COMMIT MURDER,0,0,0,61,0,61,78,0,78,14,1,15,153,1,154
GUJARAT,2011,C.H. NOT AMOUNTING TO MURDER,0,0,0,145,4,149,99,9,108,40,5,45,284,18,302
GUJARAT,2011,RAPE,0,0,0,346,0,346,138,1,139,6,0,6,490,1,491
GUJARAT,2011,KIDNAPPING AND ABDUCTION,0,0,0,63,1,64,40,3,43,0,1,1,103,5,108
GUJARAT,2011,DACOITY,0,0,0,67,0,67,56,0,56,3,0,3,126,0,126
GUJARAT,2011,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,21,0,21,14,0,14,4,0,4,39,0,39
GUJARAT,2011,ROBBERY,0,0,0,60,0,60,71,0,71,6,0,6,137,0,137
GUJARAT,2011,BURGLARY,0,0,0,1,0,1,23,0,23,13,0,13,37,0,37
GUJARAT,2011,THEFTS,0,0,0,47,1,48,32,0,32,12,0,12,91,1,92
GUJARAT,2011,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2011,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2011,ARSON,0,0,0,9,0,9,1,0,1,0,0,0,10,0,10
GUJARAT,2011,CRIMINAL BREACH OF TRUST,0,0,0,17,0,17,13,1,14,8,0,8,38,1,39
GUJARAT,2011,CHEATING,0,0,0,3,0,3,1,0,1,0,0,0,4,0,4
GUJARAT,2011,COUNTER FEITING,0,0,0,34,0,34,27,0,27,11,0,11,72,0,72
GUJARAT,2011,DOWRY DEATHS,0,0,0,11,0,11,29,0,29,5,0,5,45,0,45
GUJARAT,2011,MOLESTATION,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
GUJARAT,2011,EVE-TEASING,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
GUJARAT,2011,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,41,2,43,40,3,43,13,7,20,94,12,106
GUJARAT,2011,OTHER IPC CRIMES,0,0,0,83,1,84,77,2,79,15,0,15,175,3,178
GUJARAT,2011,TOTAL IPC,0,0,0,1647,45,1692,1669,71,1740,272,41,313,3588,157,3745
GUJARAT,2012,MURDER,0,0,0,352,18,370,1001,71,1072,270,26,296,1623,115,1738
GUJARAT,2012,ATTEMPT TO COMMIT MURDER,0,0,0,72,0,72,127,0,127,55,2,57,254,2,256
GUJARAT,2012,C.H. NOT AMOUNTING TO MURDER,0,0,0,140,1,141,124,7,131,50,4,54,314,12,326
GUJARAT,2012,RAPE,0,0,0,179,0,179,192,4,196,36,0,36,407,4,411
GUJARAT,2012,KIDNAPPING AND ABDUCTION,0,0,0,41,0,41,37,0,37,6,2,8,84,2,86
GUJARAT,2012,DACOITY,0,0,0,40,0,40,63,0,63,2,0,2,105,0,105
GUJARAT,2012,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,28,0,28,24,0,24,1,0,1,53,0,53
GUJARAT,2012,ROBBERY,0,0,0,65,0,65,86,0,86,7,0,7,158,0,158
GUJARAT,2012,BURGLARY,0,0,0,16,0,16,19,1,20,13,0,13,48,1,49
GUJARAT,2012,THEFTS,0,0,0,32,0,32,18,0,18,7,0,7,57,0,57
GUJARAT,2012,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2012,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2012,ARSON,0,0,0,6,0,6,1,0,1,3,1,4,10,1,11
GUJARAT,2012,CRIMINAL BREACH OF TRUST,0,0,0,14,0,14,12,0,12,7,0,7,33,0,33
GUJARAT,2012,CHEATING,0,0,0,12,0,12,1,0,1,0,0,0,13,0,13
GUJARAT,2012,COUNTER FEITING,0,0,0,15,0,15,37,0,37,18,0,18,70,0,70
GUJARAT,2012,DOWRY DEATHS,0,0,0,3,1,4,55,4,59,10,3,13,68,8,76
GUJARAT,2012,MOLESTATION,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
GUJARAT,2012,EVE-TEASING,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
GUJARAT,2012,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,34,3,37,46,12,58,14,9,23,94,24,118
GUJARAT,2012,OTHER IPC CRIMES,0,0,0,38,0,38,114,1,115,14,0,14,166,1,167
GUJARAT,2012,TOTAL IPC,0,0,0,1088,23,1111,1958,100,2058,513,47,560,3559,170,3729
HARYANA,2001,MURDER,0,0,0,399,13,412,589,28,617,215,15,230,1203,56,1259
HARYANA,2001,ATTEMPT TO COMMIT MURDER,0,0,0,71,0,71,79,2,81,29,2,31,179,4,183
HARYANA,2001,C.H. NOT AMOUNTING TO MURDER,0,0,0,21,0,21,30,0,30,10,0,10,61,0,61
HARYANA,2001,RAPE,0,0,0,128,0,128,69,0,69,10,0,10,207,0,207
HARYANA,2001,KIDNAPPING AND ABDUCTION,0,0,0,26,0,26,50,0,50,11,0,11,87,0,87
HARYANA,2001,DACOITY,0,0,0,61,0,61,55,0,55,12,0,12,128,0,128
HARYANA,2001,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,41,0,41,51,0,51,17,0,17,109,0,109
HARYANA,2001,ROBBERY,0,0,0,27,0,27,23,0,23,9,0,9,59,0,59
HARYANA,2001,BURGLARY,0,0,0,36,0,36,43,0,43,21,0,21,100,0,100
HARYANA,2001,THEFTS,0,0,0,27,2,29,21,0,21,7,0,7,55,2,57
HARYANA,2001,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2001,RIOTS,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
HARYANA,2001,ARSON,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
HARYANA,2001,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2001,CHEATING,0,0,0,17,0,17,18,0,18,4,0,4,39,0,39
HARYANA,2001,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2001,DOWRY DEATHS,0,0,0,66,4,70,70,19,89,27,12,39,163,35,198
HARYANA,2001,MOLESTATION,0,0,0,4,0,4,2,0,2,0,0,0,6,0,6
HARYANA,2001,EVE-TEASING,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
HARYANA,2001,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,10,0,10,21,0,21,9,0,9,40,0,40
HARYANA,2001,OTHER IPC CRIMES,0,0,0,19,0,19,8,0,8,7,0,7,34,0,34
HARYANA,2001,TOTAL IPC,0,0,0,954,19,973,1129,49,1178,390,29,419,2473,97,2570
HARYANA,2002,MURDER,3,0,3,647,9,656,769,39,808,216,19,235,1635,67,1702
HARYANA,2002,ATTEMPT TO COMMIT MURDER,0,0,0,94,1,95,58,2,60,33,0,33,185,3,188
HARYANA,2002,C.H. NOT AMOUNTING TO MURDER,0,0,0,52,3,55,41,8,49,25,2,27,118,13,131
HARYANA,2002,RAPE,0,0,0,118,0,118,72,0,72,7,0,7,197,0,197
HARYANA,2002,KIDNAPPING AND ABDUCTION,0,0,0,25,3,28,25,2,27,26,0,26,76,5,81
HARYANA,2002,DACOITY,0,0,0,54,0,54,39,0,39,8,1,9,101,1,102
HARYANA,2002,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,13,0,13,4,0,4,0,0,0,17,0,17
HARYANA,2002,ROBBERY,0,0,0,59,0,59,33,0,33,11,0,11,103,0,103
HARYANA,2002,BURGLARY,0,0,0,39,0,39,44,0,44,4,0,4,87,0,87
HARYANA,2002,THEFTS,0,0,0,35,0,35,13,0,13,4,0,4,52,0,52
HARYANA,2002,EXTORTION,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
HARYANA,2002,RIOTS,0,0,0,7,0,7,0,0,0,0,0,0,7,0,7
HARYANA,2002,ARSON,0,0,0,2,0,2,8,0,8,0,0,0,10,0,10
HARYANA,2002,CRIMINAL BREACH OF TRUST,0,0,0,1,0,1,9,0,9,0,0,0,10,0,10
HARYANA,2002,CHEATING,0,0,0,6,0,6,4,1,5,2,0,2,12,1,13
HARYANA,2002,COUNTER FEITING,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
HARYANA,2002,DOWRY DEATHS,0,0,0,67,3,70,27,18,45,13,12,25,107,33,140
HARYANA,2002,MOLESTATION,0,0,0,8,0,8,4,0,4,0,0,0,12,0,12
HARYANA,2002,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2002,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,2,0,2,10,0,10,15,0,15,0,0,0,27,0,27
HARYANA,2002,OTHER IPC CRIMES,0,0,0,7,0,7,7,0,7,14,0,14,28,0,28
HARYANA,2002,TOTAL IPC,5,0,5,1247,19,1266,1172,70,1242,363,34,397,2787,123,2910
HARYANA,2003,MURDER,0,0,0,600,30,630,826,40,866,330,27,357,1756,97,1853
HARYANA,2003,ATTEMPT TO COMMIT MURDER,0,0,0,100,2,102,121,0,121,71,0,71,292,2,294
HARYANA,2003,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2003,RAPE,0,0,0,151,5,156,143,3,146,53,1,54,347,9,356
HARYANA,2003,KIDNAPPING AND ABDUCTION,0,0,0,47,0,47,44,0,44,5,0,5,96,0,96
HARYANA,2003,DACOITY,0,0,0,77,0,77,50,0,50,7,0,7,134,0,134
HARYANA,2003,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,43,0,43,39,0,39,8,0,8,90,0,90
HARYANA,2003,ROBBERY,0,0,0,44,0,44,61,0,61,37,0,37,142,0,142
HARYANA,2003,BURGLARY,0,0,0,30,0,30,59,0,59,26,0,26,115,0,115
HARYANA,2003,THEFTS,0,0,0,40,0,40,19,0,19,6,0,6,65,0,65
HARYANA,2003,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2003,RIOTS,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
HARYANA,2003,ARSON,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
HARYANA,2003,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,5,0,5,2,0,2,7,0,7
HARYANA,2003,CHEATING,0,0,0,0,0,0,8,2,10,0,0,0,8,2,10
HARYANA,2003,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2003,DOWRY DEATHS,0,0,0,108,20,128,98,9,107,73,9,82,279,38,317
HARYANA,2003,MOLESTATION,0,0,0,4,0,4,2,0,2,0,0,0,6,0,6
HARYANA,2003,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2003,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,18,0,18,22,2,24,13,0,13,53,2,55
HARYANA,2003,OTHER IPC CRIMES,0,0,0,15,0,15,13,0,13,3,0,3,31,0,31
HARYANA,2003,TOTAL IPC,0,0,0,1277,57,1334,1513,56,1569,634,37,671,3424,150,3574
HARYANA,2004,MURDER,0,0,0,733,29,762,751,44,795,282,25,307,1766,98,1864
HARYANA,2004,ATTEMPT TO COMMIT MURDER,0,0,0,108,2,110,130,0,130,58,1,59,296,3,299
HARYANA,2004,C.H. NOT AMOUNTING TO MURDER,0,0,0,54,2,56,58,0,58,14,0,14,126,2,128
HARYANA,2004,RAPE,0,0,0,221,2,223,151,0,151,28,0,28,400,2,402
HARYANA,2004,KIDNAPPING AND ABDUCTION,0,0,0,38,1,39,26,0,26,5,0,5,69,1,70
HARYANA,2004,DACOITY,0,0,0,95,0,95,110,0,110,17,0,17,222,0,222
HARYANA,2004,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,26,0,26,51,0,51,6,0,6,83,0,83
HARYANA,2004,ROBBERY,0,0,0,59,0,59,60,0,60,15,0,15,134,0,134
HARYANA,2004,BURGLARY,0,0,0,37,0,37,44,0,44,22,0,22,103,0,103
HARYANA,2004,THEFTS,0,0,0,31,0,31,28,0,28,4,0,4,63,0,63
HARYANA,2004,EXTORTION,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
HARYANA,2004,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2004,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2004,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2004,CHEATING,0,0,0,2,0,2,5,0,5,0,0,0,7,0,7
HARYANA,2004,COUNTER FEITING,0,0,0,4,0,4,11,0,11,0,0,0,15,0,15
HARYANA,2004,DOWRY DEATHS,0,0,0,107,13,120,142,23,165,103,19,122,352,55,407
HARYANA,2004,MOLESTATION,0,0,0,5,0,5,3,0,3,0,0,0,8,0,8
HARYANA,2004,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2004,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,25,0,25,14,0,14,0,0,0,39,0,39
HARYANA,2004,OTHER IPC CRIMES,0,0,0,18,4,22,22,4,26,14,0,14,54,8,62
HARYANA,2004,TOTAL IPC,0,0,0,1564,53,1617,1606,71,1677,568,45,613,3738,169,3907
HARYANA,2005,MURDER,0,0,0,659,28,687,1004,26,1030,246,10,256,1909,64,1973
HARYANA,2005,ATTEMPT TO COMMIT MURDER,0,0,0,216,2,218,182,4,186,46,0,46,444,6,450
HARYANA,2005,C.H. NOT AMOUNTING TO MURDER,0,0,0,42,3,45,56,1,57,7,0,7,105,4,109
HARYANA,2005,RAPE,0,0,0,298,1,299,79,3,82,17,0,17,394,4,398
HARYANA,2005,KIDNAPPING AND ABDUCTION,0,0,0,97,0,97,36,0,36,9,0,9,142,0,142
HARYANA,2005,DACOITY,0,0,0,99,0,99,47,0,47,12,0,12,158,0,158
HARYANA,2005,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,36,0,36,38,0,38,9,0,9,83,0,83
HARYANA,2005,ROBBERY,4,0,4,71,0,71,44,0,44,4,0,4,123,0,123
HARYANA,2005,BURGLARY,0,0,0,19,0,19,16,0,16,8,0,8,43,0,43
HARYANA,2005,THEFTS,4,0,4,23,0,23,10,0,10,0,0,0,37,0,37
HARYANA,2005,EXTORTION,0,0,0,6,0,6,2,0,2,0,0,0,8,0,8
HARYANA,2005,RIOTS,0,0,0,3,0,3,3,0,3,1,0,1,7,0,7
HARYANA,2005,ARSON,0,0,0,1,0,1,3,0,3,1,0,1,5,0,5
HARYANA,2005,CRIMINAL BREACH OF TRUST,0,0,0,3,0,3,1,0,1,1,0,1,5,0,5
HARYANA,2005,CHEATING,0,0,0,2,0,2,1,0,1,2,0,2,5,0,5
HARYANA,2005,COUNTER FEITING,0,0,0,7,0,7,3,0,3,0,0,0,10,0,10
HARYANA,2005,DOWRY DEATHS,0,0,0,102,22,124,89,22,111,33,27,60,224,71,295
HARYANA,2005,MOLESTATION,0,0,0,1,0,1,2,0,2,1,0,1,4,0,4
HARYANA,2005,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2005,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,20,2,22,12,2,14,6,0,6,38,4,42
HARYANA,2005,OTHER IPC CRIMES,0,0,0,49,1,50,46,0,46,31,0,31,126,1,127
HARYANA,2005,TOTAL IPC,8,0,8,1754,59,1813,1674,58,1732,434,37,471,3870,154,4024
HARYANA,2006,MURDER,0,0,0,672,28,700,1047,52,1099,414,26,440,2133,106,2239
HARYANA,2006,ATTEMPT TO COMMIT MURDER,0,0,0,107,2,109,189,4,193,142,2,144,438,8,446
HARYANA,2006,C.H. NOT AMOUNTING TO MURDER,0,0,0,38,0,38,48,2,50,14,2,16,100,4,104
HARYANA,2006,RAPE,0,0,0,164,0,164,188,5,193,60,1,61,412,6,418
HARYANA,2006,KIDNAPPING AND ABDUCTION,0,0,0,47,1,48,52,4,56,22,0,22,121,5,126
HARYANA,2006,DACOITY,0,0,0,78,1,79,72,0,72,42,0,42,192,1,193
HARYANA,2006,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,89,0,89,11,0,11,0,0,0,100,0,100
HARYANA,2006,ROBBERY,0,0,0,39,0,39,42,0,42,1,0,1,82,0,82
HARYANA,2006,BURGLARY,0,0,0,14,0,14,9,0,9,0,0,0,23,0,23
HARYANA,2006,THEFTS,0,0,0,29,0,29,19,3,22,1,0,1,49,3,52
HARYANA,2006,EXTORTION,0,0,0,4,0,4,5,0,5,0,0,0,9,0,9
HARYANA,2006,RIOTS,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
HARYANA,2006,ARSON,0,0,0,3,0,3,1,0,1,2,0,2,6,0,6
HARYANA,2006,CRIMINAL BREACH OF TRUST,0,0,0,4,0,4,2,0,2,0,0,0,6,0,6
HARYANA,2006,CHEATING,0,0,0,13,0,13,29,0,29,3,0,3,45,0,45
HARYANA,2006,COUNTER FEITING,0,0,0,5,0,5,5,0,5,0,0,0,10,0,10
HARYANA,2006,DOWRY DEATHS,0,0,0,109,10,119,111,22,133,51,10,61,271,42,313
HARYANA,2006,MOLESTATION,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
HARYANA,2006,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2006,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,26,0,26,20,2,22,2,1,3,48,3,51
HARYANA,2006,OTHER IPC CRIMES,0,0,0,14,0,14,71,0,71,6,0,6,91,0,91
HARYANA,2006,TOTAL IPC,0,0,0,1457,42,1499,1924,94,2018,760,42,802,4141,178,4319
HARYANA,2007,MURDER,0,0,0,672,28,700,1047,52,1099,414,26,440,2133,106,2239
HARYANA,2007,ATTEMPT TO COMMIT MURDER,0,0,0,107,2,109,189,4,193,142,2,144,438,8,446
HARYANA,2007,C.H. NOT AMOUNTING TO MURDER,0,0,0,38,0,38,48,2,50,14,2,16,100,4,104
HARYANA,2007,RAPE,0,0,0,164,0,164,188,5,193,60,1,61,412,6,418
HARYANA,2007,KIDNAPPING AND ABDUCTION,0,0,0,47,1,48,52,4,56,22,0,22,121,5,126
HARYANA,2007,DACOITY,0,0,0,78,1,79,72,0,72,42,0,42,192,1,193
HARYANA,2007,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,89,0,89,11,0,11,0,0,0,100,0,100
HARYANA,2007,ROBBERY,0,0,0,39,0,39,42,0,42,1,0,1,82,0,82
HARYANA,2007,BURGLARY,0,0,0,14,0,14,9,0,9,0,0,0,23,0,23
HARYANA,2007,THEFTS,0,0,0,29,0,29,19,3,22,1,0,1,49,3,52
HARYANA,2007,EXTORTION,0,0,0,4,0,4,5,0,5,0,0,0,9,0,9
HARYANA,2007,RIOTS,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
HARYANA,2007,ARSON,0,0,0,3,0,3,1,0,1,2,0,2,6,0,6
HARYANA,2007,CRIMINAL BREACH OF TRUST,0,0,0,4,0,4,2,0,2,0,0,0,6,0,6
HARYANA,2007,CHEATING,0,0,0,13,0,13,29,0,29,3,0,3,45,0,45
HARYANA,2007,COUNTER FEITING,0,0,0,5,0,5,5,0,5,0,0,0,10,0,10
HARYANA,2007,DOWRY DEATHS,0,0,0,109,10,119,111,22,133,51,10,61,271,42,313
HARYANA,2007,MOLESTATION,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
HARYANA,2007,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2007,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,26,0,26,20,2,22,2,1,3,48,3,51
HARYANA,2007,OTHER IPC CRIMES,0,0,0,14,0,14,71,0,71,6,0,6,91,0,91
HARYANA,2007,TOTAL IPC,0,0,0,1457,42,1499,1924,94,2018,760,42,802,4141,178,4319
